title,main_info1,main_info2,main_info3
Не может быть!,"1975, 92 мин.",СССР • мелодрама  Режиссёр: Леонид Гайдай,"В ролях: Михаил Пуговкин, Нина Гребешкова"
Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,"1980, 65 мин.",СССР • криминал  Режиссёр: Игорь Масленников,"В ролях: Василий Ливанов, Виталий Соломин"
Мулан,"Mulan, 1998, 84 мин.",США • мультфильм  Режиссёр: Тони Бэнкрофт,"В ролях: Эдди Мерфи, Лиа Салонга"
"Добро пожаловать, или Посторонним вход воспрещен","1964, 71 мин.",СССР • комедия  Режиссёр: Элем Климов,"В ролях: Виктор Косых, Евгений Евстигнеев"
Терминал,"The Terminal, 2004, 124 мин.",США • драма  Режиссёр: Стивен Спилберг,"В ролях: Том Хэнкс, Кэтрин Зета-Джонс"
Рыбка Поньо на утесе,"Gake no ue no Ponyo, 2008, 101 мин.",Япония • аниме  Режиссёр: Хаяо Миядзаки,"В ролях: Юриа Нара, Хироки Дои"
Человек-паук,"Spider-Man, 2002, 121 мин.",США • фантастика  Режиссёр: Сэм Рэйми,"В ролях: Тоби Магуайр, Уиллем Дефо"
Бесславные ублюдки,"Inglourious Basterds, 2009, 153 мин.",Германия • боевик  Режиссёр: Квентин Тарантино,"В ролях: Брэд Питт, Кристоф Вальц"
Семь,"Se7en, 1995, 127 мин.",США • триллер  Режиссёр: Дэвид Финчер,"В ролях: Брэд Питт, Морган Фриман"
Привидение,"Ghost, 1990, 127 мин.",США • мелодрама  Режиссёр: Джерри Цукер,"В ролях: Патрик Суэйзи, Деми Мур"
Аладдин,"Aladdin, 1992, 90 мин.",США • мультфильм  Режиссёр: Рон Клементс,"В ролях: Скотт Венгер, Робин Уильямс"
Вверх,"Up, 2009, 96 мин.",США • мультфильм  Режиссёр: Пит Доктер,"В ролях: Эдвард Эснер, Кристофер Пламмер"
Гарри Поттер и Орден Феникса,"Harry Potter and the Order of the Phoenix, 2007, 138 мин.",Великобритания • фэнтези  Режиссёр: Дэвид Йейтс,"В ролях: Дэниэл Рэдклифф, Руперт Гринт"
Запах женщины,"Scent of a Woman, 1992, 156 мин.",США • драма  Режиссёр: Мартин Брест,"В ролях: Аль Пачино, Крис О’Доннелл"
Душа,"Soul, 2020, 106 мин.",США • мультфильм  Режиссёр: Пит Доктер,"В ролях: Джейми Фокс, Тина Фей"
Гарри Поттер и Дары Смерти: Часть I,"Harry Potter and the Deathly Hallows - Part 1, 2010, 146 мин.",Великобритания • фэнтези  Режиссёр: Дэвид Йейтс,"В ролях: Дэниэл Рэдклифф, Руперт Гринт"
День сурка,"Groundhog Day, 1993, 101 мин.",США • фэнтези  Режиссёр: Харольд Рэмис,"В ролях: Билл Мюррей, Энди Макдауэлл"
Пираты Карибского моря: На краю света,"Pirates of the Caribbean: At World's End, 2007, 169 мин.",США • приключения  Режиссёр: Гор Вербински,"В ролях: Джонни Депп, Джеффри Раш"
Собачья жизнь,"A Dog's Purpose, 2017, 100 мин.",США • фэнтези  Режиссёр: Лассе Халльстрём,"В ролях: Джош Гад, Деннис Куэйд"
"Хороший, плохой, злой","Il buono, il brutto, il cattivo, 1966, 178 мин.",Италия • вестерн  Режиссёр: Серджио Леоне,"В ролях: Клинт Иствуд, Ли Ван Клиф"
Общество мертвых поэтов,"Dead Poets Society, 1989, 128 мин.",США • драма  Режиссёр: Питер Уир,"В ролях: Робин Уильямс, Роберт Шон Леонард"
Белое солнце пустыни,"1969, 84 мин.",СССР • боевик  Режиссёр: Владимир Мотыль,"В ролях: Анатолий Кузнецов, Спартак Мишулин"
Шерлок Холмс и доктор Ватсон: Двадцатый век начинается,"1986, 150 мин.",СССР • триллер  Режиссёр: Игорь Масленников,"В ролях: Василий Ливанов, Виталий Соломин"
Мимино,"1977, 92 мин.",СССР • драма  Режиссёр: Георгий Данелия,"В ролях: Вахтанг Кикабидзе, Фрунзик Мкртчян"
Анастасия,"Anastasia, 1997, 94 мин.",США • мультфильм  Режиссёр: Дон Блут,"В ролях: Мег Райан, Джон Кьюсак"
Небесный замок Лапута,"Tenkuu no Shiro Laputa, 1986, 125 мин.",Япония • аниме  Режиссёр: Хаяо Миядзаки,"В ролях: Кэйко Ёкодзава, Маюми Танака"
Аватар,"Avatar, 2009, 162 мин.",США • фантастика  Режиссёр: Джеймс Кэмерон,"В ролях: Сэм Уортингтон, Зои Салдана"
Кин-дза-дза!,"1986, 135 мин.",СССР • фантастика  Режиссёр: Георгий Данелия,"В ролях: Станислав Любшин, Евгений Леонов"
Красотка,"Pretty Woman, 1990, 115 мин.",США • мелодрама  Режиссёр: Гэрри Маршалл,"В ролях: Ричард Гир, Джулия Робертс"
Апокалипсис,"Apocalypto, 2006, 139 мин.",США • боевик  Режиссёр: Мэл Гибсон,"В ролях: Руди Янгблад, Далия Эрнандес"
В погоне за счастьем,"The Pursuit of Happyness, 2006, 117 мин.",США • драма  Режиссёр: Габриэле Муччино,"В ролях: Уилл Смит, Джейден Смит"
Чудо,"Wonder, 2017, 113 мин.",США • драма  Режиссёр: Стивен Чбоски,"В ролях: Джейкоб Тремблей, Оуэн Уилсон"
Головоломка,"Inside Out, 2015, 95 мин.",США • мультфильм  Режиссёр: Пит Доктер,"В ролях: Эми Полер, Филлис Смит"
Маугли дикой планеты,"Terra Willy: Planète inconnue, 2019, 90 мин.",Франция • мультфильм  Режиссёр: Эрик Тости,"В ролях: Тимоте Фон Дорп, Эдуард Баэр"
Храброе сердце,"Braveheart, 1995, 178 мин.",США • история  Режиссёр: Мэл Гибсон,"В ролях: Мэл Гибсон, Софи Марсо"
Люди в чёрном,"Men in Black, 1997, 98 мин.",США • фантастика  Режиссёр: Барри Зонненфельд,"В ролях: Томми Ли Джонс, Уилл Смит"
Жестокий романс,"1984, 137 мин.",СССР • драма  Режиссёр: Эльдар Рязанов,"В ролях: Лариса Гузеева, Андрей Мягков"
